STATE,year,type,race,sex,value
CO,2012,APPLICANTS,WHITE,MALE,997
CO,2012,MEMBERS,AMERICANINDIAN,FEMALE,11
CO,2012,MEMBERS,AMERICANINDIAN,MALE,320
CO,2012,MEMBERS,ASIAN,FEMALE,15
CO,2012,MEMBERS,ASIAN,MALE,143
CO,2012,MEMBERS,BLACK,FEMALE,14
CO,2012,MEMBERS,BLACK,MALE,321
CO,2012,MEMBERS,HISPANIC,FEMALE,62
CO,2012,MEMBERS,HISPANIC,MALE,2837
CO,2012,MEMBERS,WHITE,FEMALE,213
CO,2012,MEMBERS,WHITE,MALE,8683
CO,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
CO,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,19
CO,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
CO,2012,REFERRALAPPLICANTS,ASIAN,MALE,4
CO,2012,REFERRALAPPLICANTS,BLACK,FEMALE,
CO,2012,REFERRALAPPLICANTS,BLACK,MALE,47
CO,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,9
CO,2012,REFERRALAPPLICANTS,HISPANIC,MALE,308
CO,2012,REFERRALAPPLICANTS,WHITE,FEMALE,23
CO,2012,REFERRALAPPLICANTS,WHITE,MALE,750
CO,2012,REFERRALS,AMERICANINDIAN,FEMALE,
CO,2012,REFERRALS,AMERICANINDIAN,MALE,11
CO,2012,REFERRALS,ASIAN,FEMALE,
CO,2012,REFERRALS,ASIAN,MALE,6
CO,2012,REFERRALS,BLACK,FEMALE,
CO,2012,REFERRALS,BLACK,MALE,33
CO,2012,REFERRALS,HISPANIC,FEMALE,6
CO,2012,REFERRALS,HISPANIC,MALE,243
CO,2012,REFERRALS,WHITE,FEMALE,16
CO,2012,REFERRALS,WHITE,MALE,646
CO,2012,REFERRED,AMERICANINDIAN,FEMALE,
CO,2012,REFERRED,AMERICANINDIAN,MALE,8
CO,2012,REFERRED,ASIAN,FEMALE,
CO,2012,REFERRED,ASIAN,MALE,6
CO,2012,REFERRED,BLACK,FEMALE,
CO,2012,REFERRED,BLACK,MALE,32
CO,2012,REFERRED,HISPANIC,FEMALE,6
CO,2012,REFERRED,HISPANIC,MALE,212
CO,2012,REFERRED,WHITE,FEMALE,16
CO,2012,REFERRED,WHITE,MALE,608
CT,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
CT,2012,APPLICANTS,AMERICANINDIAN,MALE,
CT,2012,APPLICANTS,ASIAN,FEMALE,
CT,2012,APPLICANTS,ASIAN,MALE,
CT,2012,APPLICANTS,BLACK,FEMALE,20
CT,2012,APPLICANTS,BLACK,MALE,169
CT,2012,APPLICANTS,HISPANIC,FEMALE,13
CT,2012,APPLICANTS,HISPANIC,MALE,151
CT,2012,APPLICANTS,WHITE,FEMALE,17
CT,2012,APPLICANTS,WHITE,MALE,372
CT,2012,MEMBERS,AMERICANINDIAN,FEMALE,
CT,2012,MEMBERS,AMERICANINDIAN,MALE,26
CT,2012,MEMBERS,ASIAN,FEMALE,
CT,2012,MEMBERS,ASIAN,MALE,52
CT,2012,MEMBERS,BLACK,FEMALE,36
CT,2012,MEMBERS,BLACK,MALE,847
CT,2012,MEMBERS,HISPANIC,FEMALE,45
CT,2012,MEMBERS,HISPANIC,MALE,1016
CT,2012,MEMBERS,WHITE,FEMALE,163
CT,2012,MEMBERS,WHITE,MALE,9470
CT,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
CT,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,3
CT,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
CT,2012,REFERRALAPPLICANTS,ASIAN,MALE,4
CT,2012,REFERRALAPPLICANTS,BLACK,FEMALE,18
CT,2012,REFERRALAPPLICANTS,BLACK,MALE,189
CT,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,14
CT,2012,REFERRALAPPLICANTS,HISPANIC,MALE,136
CT,2012,REFERRALAPPLICANTS,WHITE,FEMALE,35
